成都风雨兴科技,民营,50-150人,2023-03-31 08:00:17,工业自动化/PLC,成都,"['电子', '电器', '电气', '自动控制', '自动化', '工业', 'PLC', '硬件', '产品', '工业', '做五休二', '周末双休', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '高温补贴']",4-8千,https://jobs.51job.com/all/coCWpcPgdkADwAYlAxBmY.html
赛赫智能设备（上海）,民营,150-500人,2023-04-02 14:00:15,PLC电气工程师,重庆,"['3-4年', '大专', '通讯补贴', '五险一金', '专业培训', '出国机会', '绩效奖金']",8千-1.2万,https://jobs.51job.com/all/coUzdTMF48ATxSPw1sVzQ.html
河北载仁建筑工程,民营,150-500人,2022-09-20 18:00:11,plc工程师-应届,贵阳·云岩区,"['无需经验', '大专', '电子', '建筑', '给排水', '暖通', '电气', '电工', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']",7.5-9千,https://jobs.51job.com/all/coB2dQMlAyUWpUNgxpXD4.html
成都富江工业,民营,150-500人,2023-02-11 15:30:57,PLC电气工程师,成都·温江区,"['2年', '本科', '电工', '电气', '机电', '五险一金', '补充公积金', '餐饮补贴', '通讯补贴', '绩效奖金']",9千-1.3万,https://jobs.51job.com/all/coVTAGYlM2DjkGZFE7UTI.html
成都蓉和睿达汽车销售,民营,,2023-02-15 07:45:50,工业自动化/PLC,成都,"['2年', '大专', '培训', '电气', '现场调试', '电子', 'plc编程', '图纸设计', 'plc', '调试', '五险一金', '员工旅游', '专业培训', '弹性工作', '定期体检', '免费班车', '年终奖金', '绩效奖金']",8千-1.5万,https://jobs.51job.com/all/coUjMBYQVlAztRPVY2UjE.html
成都新锐科技发展,民营,50-150人,2023-03-11 10:00:21,PLC电气工程师,成都·双流区,"['2年', '大专', '餐补', '团意险', '五险一金', '年终奖金', '交补']",6千-1.1万·14薪,https://jobs.51job.com/all/coAGVcMQNjU21VMlExVzQ.html
四川衡钰龙兴科技,民营,少于50人,2023-03-31 10:00:14,PLC工程师,成都·武侯区,"['1年', '大专', '五险一金', '补充医疗保险', '补充公积金', '员工旅游', '定期体检', '交通补贴', '弹性工作', '年终奖金']",8千-1万·13薪,https://jobs.51job.com/all/coUjFcMFc0BjBWNwJhBWM.html
长春奔腾瑞马自动化,外资（欧美）,150-500人,2023-02-14 15:47:44,PLC工程师,成都·龙泉驿区,"['3-4年', '大专', '电气', 'PLC', 'HMI', '调试', '汽车', '五险一金', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '带薪年假']",8千-1.5万·13薪,https://jobs.51job.com/all/coAGRdOFMwAjQDZgNhAGA.html
大族激光科技产业集团,已上市,10000人以上,2023-04-01 10:00:21,PLC工程师（HS0300）,成都,"['2年', '大专', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']",1.2-2万,https://jobs.51job.com/all/coAGcGYANnADcBbQRn.html
重庆策威机械,民营,,2023-04-10 16:00:20,PLC工程师,重庆·九龙坡区,"['无需经验', '大专', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']",5千-1万,https://jobs.51job.com/all/coBmdTMFEwDzQCblM0UjU.html
河北载仁建筑工程,民营,150-500人,2022-09-20 18:00:11,plc工程师-应届,贵阳·云岩区,"['无需经验', '大专', '电子', '建筑', '给排水', '暖通', '电气', '电工', '五险一金', '补充医疗保险', '补充公积金', '交通补贴', '绩效奖金', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']",7.5-9千,https://jobs.51job.com/all/coB2dQMlAyUWpUNgxpXD4.html
深圳市光大激光科技,民营,1000-5000人,2023-03-13 17:00:12,PLC电气工程师,绵阳·游仙区,"['3-4年', '大专', '节日福利', '加班补贴', '绩效奖金', '年终奖金', '专业培训']",1-1.5万,https://jobs.51job.com/all/coBmJQPAdkAjpUMQZgAWI.html
成都市正恒机电设备,民营,少于50人,2023-04-11 08:00:11,PLC工程师,成都·龙泉驿区,"['2年', '大专', 'plc', '自动化', '电气工程师', '电气设计', '五险一金', '带薪年假', '绩效奖金', '全勤奖', '餐饮补贴', '住房补贴', '通讯补贴', '交通补贴']",0.8-1万,https://jobs.51job.com/all/coBmRQMFU-BjpVMANmB2E.html
重庆奔飞机电设备,民营,150-500人,2023-01-18 05:11:06,PLC电气工程师,重庆·北碚区,"['3-4年', '大专', '电气', '带薪年假', '五险', '餐饮补贴', '节日福利', '年终奖金', '包住宿', '周末双休']",6千-1.2万,https://jobs.51job.com/all/coB2MHZwdnVW8EYAJoUTQ.html
曲靖中铭科技,民营,150-500人,2023-03-05 14:00:16,PLC电气工程师,曲靖,"['5-7年', '大专', '五险一金', '提供工作餐', '提供住宿']",7-9千,https://jobs.51job.com/all/coUzZWMF85ADdTNQxnUTE.html
北京群源电力科技,民营,150-500人,2023-03-19 13:00:12,PLC/DCS工程师（固定不出差）,成都·双流区,"['2年', '本科', '自动化', 'plc系统', 'dcs', '仪控', '五险一金', '周末双休', '年终奖金', '补充医疗保险', '交通补贴', '绩效奖金', '定期体检']",1-1.6万·13薪,https://jobs.51job.com/all/coUjEGawBrUmxTNlQzVzQ.html
四川管明建设工程,民营,50-150人,2023-03-26 16:00:20,PLC自动化工程师,成都,"['3-4年', '大专', '触摸屏', '软件', '机电', '自动化', '西门子', 'wincc', '施工经验', '五险一金', '员工旅游', '通讯补贴', '交通补贴', '弹性工作', '年终奖金', '绩效奖金', '专业培训', '股票期权', '定期体检']",1.5-1.8万·13薪,https://jobs.51job.com/all/coVjdWMF45BTlUMlE0BWU.html
成都粒粒派教育管理,民营,少于50人,2023-02-15 06:51:24,文章写作编辑计算机电气工程PLC控制,成都·成华区,"['无需经验', '本科', '写作', '计算机', '电气工程', '文章', '编辑', '时间自由', '绩效奖金', '年终奖金', '专业培训']",8千-1.6万,https://jobs.51job.com/all/coBWQCY1AxADYAZFQwBmc.html
重庆福伦德实业,民营,150-500人,2023-03-18 17:35:53,PLC电气工程师,重庆·南岸区,"['1年', '大专', '电气自动化', '电气设计', 'plc', '自动化', '电气', '交通补贴', '员工旅游', '定期体检', '年终奖金', '绩效奖金', '节日福利', '五险一金', '午餐提供', '出差补贴']",1-1.5万,https://jobs.51job.com/all/coUjdVMgBlUWwDbwBgVjM.html
北京群源电力科技,民营,150-500人,2023-02-20 16:00:21,DCS/PLC工程师（成都）,成都·双流区,"['1年', '本科', 'DCS', 'PLC', '仪表', '工业控制系统', '电气工程师', '五险一金', '周末双休', '年终奖金', '补充医疗保险', '交通补贴', '绩效奖金', '专业培训', '定期体检']",1-1.7万·13薪,https://jobs.51job.com/all/coUjEGawBrUmxTNlQzVzQ.html
四川宜科纯水设备,民营,150-500人,2023-02-07 09:53:54,PLC电气工程师,成都·温江区,"['2年', '本科', '电气工程师', '电气设计', 'plc', '绩效奖金', '五险一金', '节日福利']",8千-1.2万,https://jobs.51job.com/all/coUjZQN1Q0VWkPawNkUjE.html
中国核动力研究设计院成都海光核电技术服务,国企,1000-5000人,2023-02-22 14:12:47,工程中心-PLC编程及程序维护工程师,成都·双流区,"['3-4年', '本科', '五险一金', '绩效奖金', '年终奖金', '定期体检', '交通补贴']",8.5千-1.2万,https://jobs.51job.com/all/coUzZVNF40AzUBYwRiB2o.html
成都博瑞科传科技,民营,少于50人,2022-12-13 05:17:07,PLC编程调试工程师,成都·成华区,"['3-4年', '本科', '模具', '暖通', '电梯', '餐饮补贴', '带薪年假', '五险一金', '加班补贴', '绩效奖金', '交通补贴', '通讯补贴', '年终奖金', '周末双休']",4-8千,https://jobs.51job.com/all/coB2dRN1U3VWIHYAVvXDg.html
苏州集畅自动化科技发展,民营,50-150人,2023-04-01 10:00:13,PLC工程师,成都·天府新区,"['1年', '大专', '电气工程师', 'plc', '电气设计', '电气自动化', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']",5-9千,https://jobs.51job.com/all/coAWIAYQVgBz5TMAZnB2A.html
上海康纽机器人,民营,50-150人,2022-11-17 23:00:10,PLC机器人自动化工程师及实习生,昆山,"['1年', '大专', 'plc', '电气工程师', '电气自动化', '机器人', '西门子', 'ABB', 'KUKA', 'FANUC', '五险一金', '绩效奖金', '年终奖金', '弹性工作', '专业培训']",8千-1.5万,https://jobs.51job.com/all/coUjFcOF80UmUAZgZnBmU.html
四川汇达通机械设备制造,民营,50-150人,2023-03-31 17:00:19,PLC电气工程师,成都·崇州市,"['3-4年', '大专', 'plc编程', '电气设计', '电气图纸', '现场调试', '组态软件', '五险一金', '年终奖金', '绩效奖金']",7千-1.3万,https://jobs.51job.com/all/coUTQAZARhBzsHawZtVzs.html
成都通用整流电器研究所,民营,50-150人,2023-02-26 11:00:17,自动化PLC编程工程师,成都·龙泉驿区,"['5-7年', '本科', '自动化', 'PLC编程', '员工旅游', '绩效奖金', '年终奖金', '社会保险', '餐饮补贴']",7千-1.2万,https://jobs.51job.com/all/coUTNdMF41DzJVNQBqUDY.html
安徽传威电气,民营,少于50人,2023-03-30 10:45:57,PLC电气工程师,成都·成华区,"['5-7年', '大专', '调试', '交通补贴', '通讯补贴', '弹性工作', '专业培训']",1.5千/天,https://jobs.51job.com/all/coVTVcPANkUmVSM1YwUDc.html
上海康纽机器人,民营,50-150人,2022-12-08 10:00:10,PLC机器人自动化工程师及实习生,昆山,"['1年', '大专', 'plc', '电气工程师', '电气自动化', '机器人', '西门子', 'ABB', 'KUKA', 'fanuc', '五险一金', '绩效奖金', '年终奖金', '弹性工作', '专业培训']",8千-1.5万,https://jobs.51job.com/all/coUjFcOF80UmUAZgZnBmU.html
成都祺诚科技发展,民营,,2023-02-14 07:35:43,PLC电气工程师,成都·龙泉驿区,"['2年', '中技/中专', '五险一金', '年终奖金', '餐饮补贴', '员工旅游', '节日福利']",6千-1万,https://jobs.51job.com/all/coB2YCYgBrAjsObgVkAmQ.html
成都欣明科技,创业公司,少于50人,2023-03-28 20:05:35,PLC自动化工程师,成都,"['2年', '大专', 'plc编程调试', '电气控制系统', '自控', '自动控制', '自控系统', '集成调试', '电气工程', '机电', 'plc', '设备调试', '五险一金', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检', '商业保险']",6千-1.2万,https://jobs.51job.com/all/coUTQFaFEzU2UBYARuXT0.html
深圳市裕同包装科技,民营,10000人以上,2023-03-26 15:00:15,PLC工程师,宜宾,"['3-4年', '大专', 'PCL', '五险一金', '包吃包住', '定期体检']",8千-1.5万,https://jobs.51job.com/all/coAWVWN1MxAz9RNw1uUTU.html
